Beta,Gamma,Rho,k,Eta,N,loglik,loglik.se
3.636729727280657,2,0.05555668598698397,10,0.6125641025641025,38000,-104.27525192933824,0.02305120773600836
3.92021155215078,2,0.06186014301136904,10,0.5643589743589743,38000,-104.29419070256796,0.03723311699862735
3.884477557332605,2,0.05976516433094057,10,0.570777410671675,38000,-104.2968662379967,0.03322692360726545
4.306977477156498,2,0.06677525395057003,10,0.5161538461538461,38000,-104.2974297375724,0.02596285702835879
3.524438853667301,2,0.05523888628494001,10,0.6269393646719209,38000,-104.29860571740404,0.03597910936059909
3.60595383557152,2,0.05523888628494001,10,0.6163986332624448,38000,-104.30142763771832,0.03451384914758278
3.929421543261519,2,0.05992832736272879,10,0.5643589743589743,38000,-104.30644244702692,0.0448766971073347
3.456280936681237,2,0.05356711150023763,10,0.6415912397856514,38000,-104.30897333431622,0.03408614804339886
3.627171458331312,2,0.05515044980228126,10,0.614528308394721,38000,-104.31379873441728,0.01950976332691569
3.6773562359964505,2,0.0574660312129123,10,0.6032407782799102,38000,-104.31423798871758,0.02056119378586862
4.120401700947215,2,0.06303629221641928,10,0.5402564102564102,38000,-104.31457410324649,0.02582417855849029
3.46902855765819,2,0.05393281166617899,10,0.6370050484400057,38000,-104.31750123153384,0.02699152923723868
3.950561234937442,2,0.06186014301136904,10,0.5615196367652843,38000,-104.31784492348773,0.02801744628801196
3.77698769092235,2,0.05845421837043323,10,0.5884615384615384,38000,-104.31885611134668,0.03153945077626299
3.035042355507666,2,0.04718564878006099,10,0.7320814164298325,38000,-104.3194609757289,0.03166594385976392
4.098758559512309,2,0.06499887359088471,10,0.5396207612048873,38000,-104.32056998334342,0.03848568249395765
3.4829460820041156,2,0.05481987807848805,10,0.6366666666666666,38000,-104.3207150556362,0.02500510885969701
3.4926897710894695,2,0.05416349680053381,10,0.6366666666666666,38000,-104.32120135615934,0.02847898961262203
3.781966873114266,2,0.05777109427073172,10,0.5884615384615384,38000,-104.32147820699424,0.02796582031632183
3.928998719873346,2,0.05986910931994178,10,0.5643589743589743,38000,-104.32206222932192,0.03998315763682679
3.940716431388904,2,0.06192875560882761,10,0.5643589743589743,38000,-104.32268226547478,0.01930614554169484
4.309490146802863,2,0.06673161792297608,10,0.5161538461538461,38000,-104.3231784954606,0.03433621425625915
3.621262897467621,2,0.05654537053290207,10,0.6125641025641025,38000,-104.32346592190594,0.02571562098599633
4.302132925657312,2,0.06729815955615075,10,0.5161538461538461,38000,-104.32375500090504,0.03493600359516409
