Beta,Gamma,Rho,k,Eta,N,loglik,loglik.se
4.526728741202523,1.4581344964199863,0.07208410066047753,4.864561939203623,0.3985729092856591,38000.000000000015,-103.40975882071906,0.03693649883367172
7.229836894657204,1.1218977909167267,0.11226182037654066,4.388929764294758,0.21175637740233355,38000.00000000001,-103.41082597313702,0.033253901520979345
4.3149773841175785,1.377243022863057,0.0668664056706461,4.753482859078003,0.40505940180700334,38000.00000000001,-103.41176943224806,0.03619517798340348
6.965551337677578,1.0406016517393966,0.10788012604900919,4.334629614679054,0.21124991726357142,38000,-103.41226088999322,0.050423696641023814
4.462638577655964,1.3413428733317792,0.07030113846624478,4.329751184876932,0.3831572957957798,38000.00000000001,-103.41280592263605,0.05843045159860413
5.479256515857097,1.1335504828496201,0.08448556267758288,4.350755515009073,0.2814593238108566,37999.99999999999,-103.41303004850245,0.05228011111392773
5.850760179753776,1.1562231559641747,0.09016369793860231,4.678400742373542,0.2703550729292006,38000,-103.41319988212386,0.05000387013031147
7.932290705069148,0.9579875436730534,0.1254054572139961,4.7480911859408534,0.17718697295493135,37999.99999999995,-103.41539828308657,0.04491578410034771
7.356802856207707,1.0156094371612798,0.11619460764432668,4.577739315967547,0.19505407633828323,38000.000000000015,-103.41584977657642,0.03404833754265279
2.969999183544638,1.9022141711979872,0.04661772802809326,5.148421769239212,0.7206731920350219,37999.99999999999,-103.41611221235816,0.055275676152138735
5.909313586936318,1.0000521101236306,0.09271778999582546,4.204355129067687,0.24208658673119407,38000.00000000006,-103.41659227080339,0.049081775068172566
6.001037363302245,1.1338532034858748,0.09312712766242402,4.381624685647808,0.2594567894149273,37999.99999999996,-103.41846713893156,0.050507337377654296
2.7735303891419223,1.8462763349966012,0.044097343959173085,4.749342647974589,0.7578214909909127,38000.000000000015,-103.41871923082266,0.04707097093602646
5.080591547177711,1.3127632945595973,0.08006430252877329,4.515895969049059,0.3333050492864833,37999.99999999997,-103.41944440494346,0.039196438324580106
4.9016151431291375,1.4709582399108054,0.07555350101232314,4.512916055160911,0.370477689418714,38000.000000000015,-103.42060696821223,0.03137712055622767
5.087466321192297,1.2584174771742833,0.07730697964078083,4.307890805380981,0.32185665080277676,37999.999999999985,-103.42081390414977,0.028412053763270672
9.690293573159986,0.9089943722151049,0.14938192848498402,4.653685497955141,0.14123392670067794,37999.99999999998,-103.42103272693033,0.03783852044717247
8.689315464688573,1.047200936316978,0.13273039015604898,5.035329001758024,0.17132516621943003,37999.99999999998,-103.42108466351573,0.055364033394512555
4.663314924413447,1.298401644925565,0.07187390179171456,4.520852482099976,0.360201858855717,37999.99999999997,-103.42192138379504,0.03391362353370479
6.197345219920632,1.1539573127031626,0.09733878741368851,4.3239021747499216,0.25251737188623,37999.99999999997,-103.42279227580468,0.047094940357629816
12.54128083398091,0.7855876723553629,0.1950806448108746,4.631785862026295,0.1012628902043874,37999.99999999999,-103.42516321225288,0.04899673827453489
10.274677719348595,0.8101447024902526,0.15662419096121075,4.15150473793283,0.12483637403376194,37999.99999999998,-103.42592737404676,0.04872604780624571
6.718215659153121,1.0181890232692672,0.1035559076548754,4.970698411623055,0.21766359164157267,38000,-103.42597801992612,0.04186903449309694
4.916656290197434,1.2423115086208534,0.07700908281539842,4.205298953104572,0.33237102249850664,38000.00000000001,-103.4277431999636,0.04542813370660534
9.3856996684562,0.8726972191438438,0.14545288175104482,4.401256636741273,0.14271840699091956,37999.99999999999,-103.42884483883161,0.039496939925781786
5.932535731318699,1.1404876368741705,0.09018317676037357,4.470903751594294,0.2621605181458718,37999.99999999997,-103.4288503995232,0.03397321449099621
3.880113983830538,1.7492887218258488,0.061199863017225097,5.091153800299827,0.5259542785593799,37999.999999999956,-103.42976832157942,0.04301398116055024
8.964633781808182,1.0238404656640092,0.1378825859902536,4.914486850563905,0.16305995437273535,38000.00000000004,-103.43052616667018,0.061944854250427554
8.98521379521184,0.8605356217685378,0.13980019156821433,4.148842827137187,0.1474197497365384,38000.00000000002,-103.431339866724,0.03693417667929631
