Beta,Sigma,Gamma,Rho,k,Eta,N,loglik,loglik.se
18.70932696509119,3.335028045465248,1.3000000000000096,0.19999999999998927,10.00000000000003,0.10400702503004447,37999.99999999992,-103.62704238909849,0.03157606078096294
23.720113970401737,2.5087640700591525,2,0.19780868622903489,10.000000000000004,0.11307403392758689,38000.000000000015,-103.62712312133183,0.0222345049820019
20.123288183550095,2.759751219977162,1.3000000000000105,0.1999999999999892,10.000000000000025,0.09840116066463868,37999.99999999992,-103.62736982387901,0.0336639165008491
24.044622444530283,2.095621429891564,1.67844910182285,0.1999999999999897,10.000000000000032,0.10189092697480225,37999.999999999905,-103.62945751587696,0.03208641551448679
23.935034612427867,2.1432713952210003,2,0.1888777025062259,9.999999999999982,0.11459392384913768,38000,-103.63061786548984,0.02658322523273905
21.508967233728875,2.253284968820194,1.3109762054480822,0.19999999999998977,10.00000000000004,0.09654393811610096,37999.999999999905,-103.63095665560208,0.03712086657960619
26.994532078619756,1.8299335473120233,1.900000000000094,0.19999999999998944,10.000000000000032,0.10180296975438281,37999.999999999935,-103.6314587145144,0.041646783558570856
28.501599854233017,1.9875899057829889,2,0.21922474794645777,10.00000000000001,0.09696173706012907,37999.99999999987,-103.63169697198624,0.03474552950160561
19.38310336107765,3.5290081441254437,1.5999999999999142,0.19999999999998927,10.000000000000023,0.11360932631799062,37999.99999999995,-103.63201460874559,0.05096529716551829
23.290007706719596,2.2092494878015114,1.5999999999999155,0.19999999999998944,10.000000000000028,0.10183099926904711,37999.99999999992,-103.63291008237321,0.030276347782478064
24.24239591287535,2.227035275817364,2,0.1969048735289339,9.999999999999996,0.11231365053861755,37999.99999999995,-103.63293491009118,0.03329513186522016
20.737780927448576,2.871488729186943,1.3555083122558784,0.19999999999998944,10.000000000000028,0.09863988591801123,37999.99999999993,-103.63334520241544,0.04009234820290213
19.784141577418065,2.6005410498026973,1.2414436104950322,0.1999999999999898,10.000000000000044,0.09795338363378156,37999.999999999905,-103.63465901296922,0.02708250275547043
